sensorId,timestamp,value
28-000002c7c3ee,2019-10-09 17:00:00.93,16.0
28-0000066c6a65,2019-10-09 17:00:01.886,19.937
28-000002c7c3ee,2019-10-09 17:15:00.926,16.0
28-0000066c6a65,2019-10-09 17:15:01.806,20.375
28-000002c7c3ee,2019-10-09 17:30:00.926,16.437
28-0000066c6a65,2019-10-09 17:30:01.806,20.625
28-000002c7c3ee,2019-10-09 17:45:00.926,16.5
28-0000066c6a65,2019-10-09 17:45:01.806,20.687
28-000002c7c3ee,2019-10-09 18:00:00.926,16.562
28-0000066c6a65,2019-10-09 18:00:01.806,20.687
28-000002c7c3ee,2019-10-09 18:15:00.926,16.562
28-0000066c6a65,2019-10-09 18:15:01.806,20.625
28-000002c7c3ee,2019-10-09 18:30:00.926,16.562
28-0000066c6a65,2019-10-09 18:30:01.806,20.562
28-000002c7c3ee,2019-10-09 18:45:00.926,16.562
28-0000066c6a65,2019-10-09 18:45:01.806,20.312
28-000002c7c3ee,2019-10-09 19:00:00.926,16.562
28-0000066c6a65,2019-10-09 19:00:01.806,20.187
28-000002c7c3ee,2019-10-09 19:15:00.926,16.562
28-0000066c6a65,2019-10-09 19:15:01.806,20.062
28-000002c7c3ee,2019-10-09 19:30:00.926,16.562
28-0000066c6a65,2019-10-09 19:30:01.806,19.875
28-000002c7c3ee,2019-10-09 19:45:00.926,16.5
28-0000066c6a65,2019-10-09 19:45:01.806,19.625
28-000002c7c3ee,2019-10-09 20:00:00.926,16.5
28-0000066c6a65,2019-10-09 20:00:01.806,19.437
28-000002c7c3ee,2019-10-09 20:15:00.926,16.5
28-0000066c6a65,2019-10-09 20:15:01.806,19.25
28-000002c7c3ee,2019-10-09 20:30:00.926,16.375
28-0000066c6a65,2019-10-09 20:30:01.806,19.062
28-000002c7c3ee,2019-10-09 20:45:00.926,16.375
28-0000066c6a65,2019-10-09 20:45:01.806,18.812
28-000002c7c3ee,2019-10-09 21:00:00.925,16.312
28-0000066c6a65,2019-10-09 21:00:01.805,18.625
28-000002c7c3ee,2019-10-09 21:15:00.925,16.25
28-0000066c6a65,2019-10-09 21:15:01.805,18.437
28-000002c7c3ee,2019-10-09 21:30:00.925,16.25
28-0000066c6a65,2019-10-09 21:30:01.805,18.187
28-000002c7c3ee,2019-10-09 21:45:00.925,16.187
28-0000066c6a65,2019-10-09 21:45:01.806,18.0
28-000002c7c3ee,2019-10-09 22:00:00.925,16.125
28-0000066c6a65,2019-10-09 22:00:01.805,17.812
28-000002c7c3ee,2019-10-09 22:15:00.925,16.062
28-0000066c6a65,2019-10-09 22:15:01.805,17.625
28-000002c7c3ee,2019-10-09 22:30:00.925,16.062
28-0000066c6a65,2019-10-09 22:30:01.805,17.5
28-000002c7c3ee,2019-10-09 22:45:00.925,16.0
28-0000066c6a65,2019-10-09 22:45:01.805,17.312
28-000002c7c3ee,2019-10-09 23:00:00.925,15.937
28-0000066c6a65,2019-10-09 23:00:01.805,17.125
28-000002c7c3ee,2019-10-09 23:15:00.925,15.937
28-0000066c6a65,2019-10-09 23:15:01.805,16.937
28-000002c7c3ee,2019-10-09 23:30:00.925,15.875
28-0000066c6a65,2019-10-09 23:30:01.805,16.812
28-000002c7c3ee,2019-10-09 23:45:00.925,15.812
28-0000066c6a65,2019-10-09 23:45:01.805,16.687
28-000002c7c3ee,2019-10-10 00:00:00.925,15.75
28-0000066c6a65,2019-10-10 00:00:01.805,16.562
28-000002c7c3ee,2019-10-10 00:15:00.925,15.687
28-0000066c6a65,2019-10-10 00:15:01.805,16.437
28-000002c7c3ee,2019-10-10 00:30:00.925,15.687
28-0000066c6a65,2019-10-10 00:30:01.805,16.312
28-000002c7c3ee,2019-10-10 00:45:00.925,15.625
28-0000066c6a65,2019-10-10 00:45:01.805,16.187
28-000002c7c3ee,2019-10-10 01:00:00.925,15.625
28-0000066c6a65,2019-10-10 01:00:01.805,16.062
28-000002c7c3ee,2019-10-10 01:15:00.925,15.562
28-0000066c6a65,2019-10-10 01:15:01.805,16.0
28-000002c7c3ee,2019-10-10 01:30:00.925,15.562
28-0000066c6a65,2019-10-10 01:30:01.805,15.875
28-000002c7c3ee,2019-10-10 01:45:00.925,15.562
28-0000066c6a65,2019-10-10 01:45:01.805,15.812
28-000002c7c3ee,2019-10-10 02:00:00.925,15.625
28-0000066c6a65,2019-10-10 02:00:01.805,15.687
28-000002c7c3ee,2019-10-10 02:15:00.925,15.687
28-0000066c6a65,2019-10-10 02:15:01.805,15.625
28-000002c7c3ee,2019-10-10 02:30:00.925,15.812
28-0000066c6a65,2019-10-10 02:30:01.805,15.562
28-000002c7c3ee,2019-10-10 02:45:00.925,15.875
28-0000066c6a65,2019-10-10 02:45:01.805,15.5
28-000002c7c3ee,2019-10-10 03:00:00.925,15.812
28-0000066c6a65,2019-10-10 03:00:01.805,15.437
